accident_id,arc_id,arc_length,distance_to_nearest_vertex,fraction_from_nearest_intersection
57,"(8, 1033)",19.571628288617404,0.9138465844977223,0.046692414704667326
58,"(50, 1031)",12.13766034215154,0.25358316526168734,0.020892260791072426
213,"(50, 1031)",12.13766034215154,6.040286140678376,0.4976483086861257
372,"(50, 1031)",12.13766034215154,3.3813324667326157,0.2785818989340112
442,"(50, 1031)",12.13766034215154,2.3792699815283362,0.19602377348339797
60,"(837, 838)",19.65953493340925,1.5120322031749005,0.07691088361430999
61,"(13, 14)",9.256311734357109,4.096594080299115,0.44257304614035253
62,"(485, 845)",22.44496928365086,10.397148838623247,0.4632284725912561
63,"(15, 16)",7.995274858170536,2.6592907344625507,0.33260779418295633
244,"(15, 16)",7.995274858170536,0.9678243344182867,0.12104953883220752
64,"(107, 108)",32.375213075775996,14.490004946119651,0.44756477469986017
65,"(376, 378)",5.389348224055763,2.395205706481968,0.444433279666507
214,"(376, 378)",5.389348224055763,0.4417850562786188,0.08197374485966184
66,"(903, 904)",1.0429454898742159,0.3057164288330344,0.293127907259952
67,"(38, 39)",7.745022539194565,2.208717380001516,0.28517894800487037
68,"(1266, 1267)",21.825021696567156,3.3062645314665664,0.1514896332032791
69,"(198, 199)",7.372214896038288,3.3890715084331395,0.45970872474897245
70,"(767, 768)",8.922385304909797,2.229148307299678,0.24983770943774705
71,"(654, 655)",21.743372779899676,0.0,0.0
72,"(1269, 1270)",12.544114238227221,3.6327495342813276,0.28959793137173473
73,"(784, 785)",4.518386196426333,1.3020927433623364,0.2881765052292748
75,"(846, 1044)",10.939459819467524,4.634832226443573,0.4236801727810699
76,"(1276, 1277)",17.90358361680712,5.285764503075373,0.2952349996630464
394,"(1276, 1277)",17.90358361680712,0.4203308459167234,0.02347746992519055
77,"(164, 165)",3.6181255981644327,0.6492077082425123,0.1794320541475597
79,"(1044, 1074)",16.107916895617997,0.8111921600607778,0.050359842636229064
80,"(482, 483)",13.998702832715608,3.4128170086762437,0.2437952322768317
156,"(482, 483)",13.998702832715608,2.2109124293978244,0.15793695000302607
81,"(819, 833)",13.51197234853132,0.01577001610221468,0.0011671142965245039
105,"(819, 833)",13.51197234853132,4.538895827193106,0.33591660122709327
218,"(819, 833)",13.51197234853132,4.014936910305402,0.29713921896397344
325,"(819, 833)",13.51197234853132,4.994320069192005,0.3696218390896027
343,"(819, 833)",13.51197234853132,4.994320069192005,0.3696218390896027
383,"(819, 833)",13.51197234853132,5.538687550744497,0.40990962739399944
83,"(330, 331)",3.5397539384342838,1.642667243387749,0.46406255122759726
84,"(20, 21)",2.3590506824569077,0.928168788629269,0.3934501261594763
85,"(167, 168)",24.490200091960123,10.174903068366014,0.4154683518370407
207,"(167, 168)",24.490200091960123,11.196019931407045,0.45716326895518433
323,"(167, 168)",24.490200091960123,0.8170804986190819,0.03336356973609705
402,"(167, 168)",24.490200091960123,8.327053240145693,0.34001572910298017
87,"(767, 769)",10.009659479155749,1.1104581913891842,0.11093865817329925
88,"(690, 691)",7.435292281608773,1.2849336583043232,0.17281548722470697
89,"(36, 341)",12.880700838942232,1.1185807793907476,0.08684160849454259
212,"(36, 341)",12.880700838942232,4.990767819196199,0.3874608906456089
319,"(36, 341)",12.880700838942232,0.0,0.0
90,"(154, 155)",11.409316171598691,0.0,0.0
97,"(154, 155)",11.409316171598691,0.0,0.0
173,"(154, 155)",11.409316171598691,3.8705759498190915,0.33924697077412486
324,"(154, 155)",11.409316171598691,0.0,0.0
91,"(936, 937)",7.880115430232436,1.2765814837839224,0.1620003533052647
92,"(0, 568)",8.10872595142815,1.2372955149871396,0.15258815286132846
93,"(545, 546)",11.166759825778286,4.906441744644638,0.4393791772361931
94,"(971, 1190)",18.85354343311095,4.327492523000777,0.22953205260082585
140,"(971, 1190)",18.85354343311095,1.5558671372088777,0.08252385779515772
95,"(814, 815)",1.7587619882009513,0.0,0.0
164,"(814, 815)",1.7587619882009513,0.0,0.0
273,"(814, 815)",1.7587619882009513,0.0,0.0
96,"(109, 110)",3.541812031541071,0.8908838823522459,0.25153336044335906
98,"(104, 105)",21.666168556852867,9.441173185750438,0.43575647263042533
99,"(1105, 1106)",24.506795329470165,3.811253317378437,0.1555182252979152
172,"(1105, 1106)",24.506795329470165,1.8588723036200263,0.07585130077716347
334,"(1105, 1106)",24.506795329470165,10.102226252889915,0.41222143152849045
437,"(1105, 1106)",24.506795329470165,2.0756407606956047,0.08469653958384284
100,"(111, 142)",23.521641396827214,0.0,0.0
110,"(111, 142)",23.521641396827214,0.0,0.0
430,"(111, 142)",23.521641396827214,4.524108142924669,0.19233811393514894
434,"(111, 142)",23.521641396827214,8.557346279208126,0.3638073608401499
441,"(111, 142)",23.521641396827214,6.763726863188915,0.28755335348753597
443,"(111, 142)",23.521641396827214,2.90299416695131,0.12341800973731745
102,"(133, 134)",29.926363346779493,8.695273714425266,0.29055564198250644
103,"(693, 694)",4.54599908129174,1.7529725105815763,0.38560775733449365
104,"(862, 863)",6.713669835475236,3.0420759782858746,0.4531167085714362
106,"(974, 975)",13.721119253318378,5.973216293404553,0.4353301055932418
146,"(974, 975)",13.721119253318378,6.754476583986953,0.49226863051667014
108,"(19, 1151)",7.605354382466741,0.08598085254892256,0.011305305213277293
109,"(288, 289)",40.43493432401855,9.383817745937252,0.23207204123893477
111,"(850, 851)",46.723660872202075,2.3941555007635964,0.05124075160360525
112,"(861, 862)",2.601163731162142,1.0768135077156307,0.4139737513695589
