xmin,ymin,xmax,ymax,accident_count,rank
429800,432400,430800,433400,197,279
430400,432600,431400,433600,197,280
428600,433300,429600,434300,197,281
429900,434100,430900,435100,197,282
430400,434100,431400,435100,196,283
430500,434400,431500,435400,196,284
430800,435000,431800,436000,196,285
428500,433400,429500,434400,196,286
430800,433400,431800,434400,196,287
430500,433500,431500,434500,196,288
429500,433800,430500,434800,196,289
430600,432800,431600,433800,195,290
428700,432900,429700,433900,195,291
431000,434100,432000,435100,195,292
430500,434600,431500,435600,195,293
430200,433900,431200,434900,195,294
429500,433900,430500,434900,195,295
430900,434300,431900,435300,195,296
430500,433700,431500,434700,195,297
429300,433800,430300,434800,194,298
430700,434100,431700,435100,194,299
430400,433900,431400,434900,194,300
430700,434900,431700,435900,194,301
428400,432900,429400,433900,194,302
429400,433900,430400,434900,193,303
430500,433900,431500,434900,193,304
430700,433500,431700,434500,193,305
430000,434000,431000,435000,193,306
430500,434300,431500,435300,193,307
430800,434200,431800,435200,192,308
430800,434700,431800,435700,192,309
430700,434500,431700,435500,192,310
430700,434600,431700,435600,192,311
430600,434700,431600,435700,191,312
430900,434400,431900,435400,191,313
430300,433900,431300,434900,189,314
430700,434700,431700,435700,189,315
430800,433300,431800,434300,189,316
429000,433700,430000,434700,189,317
428600,434700,429600,435700,189,318
428600,432900,429600,433900,188,319
430700,434800,431700,435800,188,320
430600,434900,431600,435900,188,321
428600,433400,429600,434400,188,322
430700,433600,431700,434600,187,323
430500,434000,431500,435000,187,324
430700,434300,431700,435300,187,325
428800,433500,429800,434500,187,326
429200,433800,430200,434800,187,327
430400,432500,431400,433500,187,328
430700,434400,431700,435400,186,329
430800,434600,431800,435600,186,330
429800,434000,430800,435000,186,331
429100,433800,430100,434800,186,332
429300,432700,430300,433700,186,333
430600,432700,431600,433700,186,334
429300,433900,430300,434900,186,335
428900,432800,429900,433800,185,336
430700,435000,431700,436000,185,337
429800,434100,430800,435100,184,338
430800,434100,431800,435100,184,339
428400,433100,429400,434100,184,340
429600,433800,430600,434800,184,341
430400,434500,431400,435500,184,342
430900,434100,431900,435100,183,343
430400,434200,431400,435200,183,344
430500,432600,431500,433600,183,345
430000,434100,431000,435100,183,346
428600,434600,429600,435600,183,347
430800,433600,431800,434600,182,348
428900,433600,429900,434600,182,349
430600,434800,431600,435800,182,350
429900,434200,430900,435200,181,351
430200,434100,431200,435100,180,352
430200,434200,431200,435200,180,353
430200,434000,431200,435000,180,354
428500,432800,429500,433800,180,355
430000,432400,431000,433400,180,356
429800,434200,430800,435200,179,357
429700,432400,430700,433400,179,358
430800,433500,431800,434500,179,359
430600,435000,431600,436000,178,360
428700,434700,429700,435700,178,361
429300,432500,430300,433500,178,362
429300,432600,430300,433600,178,363
430400,434000,431400,435000,178,364
428600,434800,429600,435800,177,365
430700,432900,431700,433900,177,366
430700,433800,431700,434800,177,367
430500,434700,431500,435700,177,368
430700,433700,431700,434700,176,369
430300,434100,431300,435100,176,370
430100,434000,431100,435000,176,371
430100,434100,431100,435100,176,372
430800,434500,431800,435500,175,373
430800,433200,431800,434200,175,374
430500,434900,431500,435900,175,375
428400,433200,429400,434200,175,376
428500,434700,429500,435700,175,377
430300,434000,431300,435000,175,378
428400,434800,429400,435800,174,379
428700,434600,429700,435600,174,380
429800,434300,430800,435300,174,381
430400,434600,431400,435600,173,382
428400,433300,429400,434300,173,383
430100,434200,431100,435200,173,384
429200,433900,430200,434900,172,385
430500,432500,431500,433500,172,386
428400,434700,429400,435700,172,387
430400,434400,431400,435400,172,388
430700,433900,431700,434900,172,389
428400,432800,429400,433800,172,390
429600,433900,430600,434900,172,391
430800,434300,431800,435300,172,392
430000,434200,431000,435200,171,393
430800,433700,431800,434700,171,394
428800,433600,429800,434600,171,395
428400,434900,429400,435900,171,396
428300,433000,429300,434000,171,397
430400,434300,431400,435300,170,398
428500,434800,429500,435800,170,399
429600,432400,430600,433400,169,400
429000,432700,430000,433700,169,401
429200,432700,430200,433700,169,402
428400,433400,429400,434400,169,403
430600,432600,431600,433600,168,404
429900,434500,430900,435500,168,405
430800,433800,431800,434800,168,406
430800,434400,431800,435400,168,407
428500,432700,429500,433700,167,408
430500,434800,431500,435800,167,409
429900,434300,430900,435300,167,410
428500,434900,429500,435900,167,411
429900,434600,430900,435600,167,412
428300,432900,429300,433900,166,413
430000,434600,431000,435600,166,414
428900,433700,429900,434700,166,415
428700,434800,429700,435800,166,416
430700,432800,431700,433800,166,417
429700,434000,430700,435000,166,418
428800,432800,429800,433800,166,419
430100,432400,431100,433400,165,420
430200,434300,431200,435300,165,421
430000,434500,431000,435500,165,422
430500,435000,431500,436000,165,423
428300,433100,429300,434100,164,424
430700,434000,431700,435000,164,425
428800,434600,429800,435600,164,426
428500,434600,429500,435600,164,427
430000,434300,431000,435300,164,428
430200,434500,431200,435500,163,429
428600,434500,429600,435500,163,430
430800,433900,431800,434900,163,431
429300,434100,430300,435100,163,432
429500,432400,430500,433400,162,433
430800,433100,431800,434100,162,434
428000,434900,429000,435900,162,435
428400,434600,429400,435600,162,436
428300,433400,429300,434400,161,437
428600,434900,429600,435900,161,438
430300,434200,431300,435200,161,439
429100,432700,430100,433700,161,440
429300,434000,430300,435000,161,441
428400,432700,429400,433700,161,442
430100,434300,431100,435300,161,443
430700,432700,431700,433700,160,444
428500,433500,429500,434500,160,445
428500,432600,429500,433600,160,446
428900,434600,429900,435600,160,447
428300,433200,429300,434200,159,448
429200,432500,430200,433500,159,449
429200,432600,430200,433600,159,450
429700,434100,430700,435100,159,451
429100,433900,430100,434900,159,452
428300,433300,429300,434300,158,453
428800,433700,429800,434700,158,454
428700,433500,429700,434500,158,455
430600,432500,431600,433500,158,456
428400,432600,429400,433600,158,457
428800,434700,429800,435700,158,458
430200,434400,431200,435400,157,459
428700,432800,429700,433800,157,460
430100,434500,431100,435500,157,461
428600,432800,429600,433800,157,462
430300,434500,431300,435500,157,463
428200,433000,429200,434000,156,464
428300,432700,429300,433700,156,465
428300,432600,429300,433600,156,466
430000,434400,431000,435400,156,467
428000,434800,429000,435800,156,468
430800,434000,431800,435000,156,469
428100,434900,429100,435900,156,470
430400,434700,431400,435700,156,471
428700,434500,429700,435500,156,472
429700,434200,430700,435200,155,473
429900,434400,430900,435400,155,474
428100,432600,429100,433600,155,475
428700,434900,429700,435900,155,476
429000,433800,430000,434800,154,477
428800,434500,429800,435500,154,478
430200,434600,431200,435600,154,479
428200,432900,429200,433900,154,480
428900,434700,429900,435700,154,481
428200,432600,429200,433600,153,482
428000,432600,429000,433600,153,483
429300,434200,430300,435200,153,484
430100,434400,431100,435400,152,485
428900,434500,429900,435500,152,486
428100,432700,429100,433700,152,487
429400,432400,430400,433400,152,488
429400,434000,430400,435000,152,489
429800,434500,430800,435500,151,490
429800,434400,430800,435400,151,491
428000,435000,429000,436000,151,492
428200,432700,429200,433700,151,493
429200,434100,430200,435100,151,494
428000,432500,429000,433500,151,495
429500,434000,430500,435000,151,496
428900,432700,429900,433700,151,497
429100,432600,430100,433600,150,498
428300,434800,429300,435800,150,499
428300,432800,429300,433800,150,500
431000,434000,432000,435000,149,501
430100,434600,431100,435600,149,502
428200,434800,429200,435800,149,503
429000,432600,430000,433600,149,504
428600,433500,429600,434500,149,505
428200,433100,429200,434100,149,506
428100,434800,429100,435800,149,507
430000,435000,431000,436000,148,508
428000,434700,429000,435700,148,509
428000,434500,429000,435500,148,510
428400,434500,429400,435500,148,511
429700,434300,430700,435300,148,512
430000,434700,431000,435700,148,513
430400,434800,431400,435800,148,514
428500,434500,429500,435500,148,515
428800,434800,429800,435800,148,516
429800,432300,430800,433300,147,517
430400,434900,431400,435900,147,518
428300,434900,429300,435900,147,519
430300,434400,431300,435400,147,520
428200,433400,429200,434400,147,521
430200,432400,431200,433400,147,522
428000,434200,429000,435200,147,523
429200,434000,430200,435000,146,524
429900,434700,430900,435700,146,525
428500,433600,429500,434600,146,526
428000,432700,429000,433700,146,527
428200,434900,429200,435900,146,528
428900,434800,429900,435800,146,529
430300,434300,431300,435300,146,530
430300,434600,431300,435600,146,531
429100,432500,430100,433500,145,532
430700,432600,431700,433600,145,533
429500,434100,430500,435100,145,534
428300,434700,429300,435700,145,535
428200,433200,429200,434200,145,536
428400,433500,429400,434500,145,537
428200,432800,429200,433800,145,538
429800,434600,430800,435600,145,539
428100,432500,429100,433500,144,540
428000,434000,429000,435000,144,541
428200,433300,429200,434300,144,542
428000,434600,429000,435600,144,543
429900,432300,430900,433300,143,544
429300,434300,430300,435300,143,545
429400,434100,430400,435100,143,546
428300,433500,429300,434500,143,547
428700,433600,429700,434600,143,548
428600,432700,429600,433700,142,549
430000,434900,431000,435900,142,550
430000,434800,431000,435800,142,551
428000,434300,429000,435300,142,552
429100,434100,430100,435100,142,553
429100,434600,430100,435600,142,554
428300,432500,429300,433500,142,555
430800,433000,431800,434000,142,556
429300,434600,430300,435600,141,557
428000,434100,429000,435100,141,558
428400,432500,429400,433500,141,559
428500,432500,429500,433500,141,560
428200,434700,429200,435700,140,561
428400,435000,429400,436000,140,562
428700,432700,429700,433700,140,563
428100,434700,429100,435700,139,564
428100,432800,429100,433800,139,565
430400,435000,431400,436000,139,566
428000,432400,429000,433400,139,567
429300,432400,430300,433400,138,568
430900,433400,431900,434400,138,569
428500,435000,429500,436000,138,570
428700,435000,429700,436000,138,571
428000,433900,429000,434900,138,572
428800,434900,429800,435900,138,573
428900,433800,429900,434800,137,574
429100,434500,430100,435500,137,575
430900,434000,431900,435000,137,576
428300,434600,429300,435600,137,577
429100,434000,430100,435000,137,578
428100,435000,429100,436000,137,579
428200,432500,429200,433500,137,580
428000,433800,429000,434800,137,581
431000,433900,432000,434900,137,582
429100,434700,430100,435700,137,583
429500,434200,430500,435200,136,584
428900,434900,429900,435900,136,585
430200,434700,431200,435700,136,586
428600,435000,429600,436000,136,587
429300,434500,430300,435500,136,588
428200,433500,429200,434500,136,589
428700,433700,429700,434700,135,590
428100,433000,429100,434000,135,591
429000,434500,430000,435500,135,592
429300,434700,430300,435700,135,593
428500,433700,429500,434700,135,594
430900,433600,431900,434600,134,595
428000,433700,429000,434700,134,596
428100,432900,429100,433900,134,597
430100,435000,431100,436000,134,598
428200,434600,429200,435600,134,599
428800,432700,429800,433700,134,600
429200,434600,430200,435600,133,601
430700,432500,431700,433500,133,602
430200,434800,431200,435800,133,603
430200,434900,431200,435900,133,604
430200,435000,431200,436000,133,605
428400,433600,429400,434600,133,606
429000,434600,430000,435600,133,607
428100,434600,429100,435600,132,608
428000,432800,429000,433800,132,609
429700,432300,430700,433300,132,610
428800,433800,429800,434800,132,611
429100,434800,430100,435800,132,612
429900,434800,430900,435800,132,613
428100,432400,429100,433400,132,614
429400,434200,430400,435200,132,615
430900,433500,431900,434500,131,616
428600,433600,429600,434600,131,617
430100,434700,431100,435700,131,618
428300,433600,429300,434600,131,619
428100,433100,429100,434100,131,620
428600,432600,429600,433600,130,621
431000,433800,432000,434800,130,622
429000,433900,430000,434900,130,623
429000,434100,430000,435100,130,624
428300,435000,429300,436000,130,625
429300,434800,430300,435800,129,626
429000,432500,430000,433500,129,627
428000,432300,429000,433300,129,628
430900,433300,431900,434300,129,629
